city,date,temperature,humidity,weather_description,wind_speed,cloudiness
Toronto,03-12-2023,275.63,90,light rain,2.39,100
Vancouver,03-12-2023,278.61,86,scattered clouds,0.87,42
Calgary,03-12-2023,270.23,57,broken clouds,3.6,62
Montreal,03-12-2023,273.68,88,overcast clouds,2.86,100
Edmonton,03-12-2023,268.52,52,few clouds,1.72,23
Ottawa,03-12-2023,274.76,93,overcast clouds,1.5,100
Quebec City,03-12-2023,271.38,91,overcast clouds,3.39,97
Winnipeg,03-12-2023,271.64,58,overcast clouds,6.1,85
Halifax,03-12-2023,279.89,98,light rain,1.89,100
Victoria,03-12-2023,281.17,76,broken clouds,5.81,61
Regina,03-12-2023,267.55,83,clear sky,3.16,8
Saskatoon,03-12-2023,267.76,78,scattered clouds,2.26,28
St. John's,03-12-2023,276,87,overcast clouds,2.18,100
Hamilton,03-12-2023,275.75,96,overcast clouds,3.62,100
Kelowna,03-12-2023,274.61,86,light snow,0.14,97
London,03-12-2023,275.89,97,overcast clouds,3.19,100
Thunder Bay,03-12-2023,270.45,87,overcast clouds,1.77,100
Charlottetown,03-12-2023,277.47,96,light rain,6.33,100
Fredericton,03-12-2023,273.9,97,light rain,3.69,100
Whitehorse,03-12-2023,256.65,99,broken clouds,1.48,71
